country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,8611,9141,10081,10638,10890,11736,12421,13182,13675,13379,13844,14168,14383,14514,15033,15611,15642,16410,17598,17299,17989,19112,20247,20960,21300,21653,21776,21415,21972
China,1530,1649,1857,2085,2331,2522,2747,2978,3167,3389,3651,3918,4263,4678,5137,5665,6381,7281,7974,8613,9458,10259,11090,11823,12742,13485,14311,15212,16127
Colombia,7392,7434,7617,7945,8331,8613,8601,8737,8683,8193,8254,8239,8300,8439,8756,9131,9612,10100,10254,10305,10567,11151,11538,11996,12513,12951,13087,12963,12896
Comoros,2576,2368,2520,2510,2305,2325,2229,2257,2222,2211,2391,2389,2378,2369,2355,2367,2374,2345,2372,2391,2424,2463,2479,2534,2529,2504,2504,2515,2426
"Congo, Dem. Rep.",5976,6060,6307,5676,5506,4001,4024,4484,5178,4034,3564,3998,4054,3940,3613,2975,2674,3131,3614,4068,4051,3976,4742,5108,5942,7631,6765,6068,5804
"Congo, Rep.",2054,1684,1550,1330,729,696,725,664,642,579,565,522,531,548,564,572,589,602,602,614,634,648,665,669,712,749,794,787,800
Costa Rica,7377,7509,8009,8372,8645,8742,8681,8942,9246,9239,9313,9467,9626,9888,10217,10520,11226,12022,12502,12049,12485,12850,13339,13408,13648,13952,14393,14619,14790
Croatia,14413,11436,10042,9329,9979,12742,13650,14668,14861,14585,15316,16477,17372,18032,19033,19692,20598,21755,22037,20348,20177,20192,19737,19888,19960,20890,21216,22426,23061
Cuba,4920,4372,3856,3261,3266,3308,3558,3642,3637,3844,4047,4182,4233,4381,4618,5138,5770,6156,6400,6428,6601,6821,7022,7208,7258,7567,7597,7726,7811
Cyprus,22853,22430,23807,23422,24226,24254,24222,24348,27786,26406,26855,28026,29381,30101,30670,31873,32716,33342,35274,32678,32881,33145,30718,28727,28908,31057,31358,32219,33100
Czech Republic,20121,17774,17803,17759,18272,19080,19789,19701,19644,19865,20752,21241,21468,22284,23059,24572,25777,26958,27441,25796,26237,26617,26761,26672,27119,28498,29211,30530,31597
Cote d'Ivoire,2806,2759,2686,2579,2600,2704,2865,2925,3025,2975,2713,2590,2462,2311,2402,2580,2559,2548,2562,2580,2573,2398,2609,2741,2962,3126,3387,3426,3589
Denmark,32832,33151,33764,33822,35550,36598,37386,38503,39365,40538,41414,41935,42090,42283,43731,44929,46716,46609,46379,43817,44726,45340,45340,45983,46714,47213,47729,48338,48836
Djibouti,1919,1819,1877,1970,1881,1969,1824,1858,1801,1845,1822,1805,1837,1966,2022,2048,2303,2365,2415,2451,2494,2562,2638,2823,3003,3231,3431,3469,3601
Dominica,6484,6505,6648,6801,6674,6823,6933,7184,7568,7394,7251,7608,7294,7772,7873,7999,8730,9197,9916,9921,10074,10027,9746,9777,10163,9804,10179,9218,9245
Dominican Republic,5278,5204,5734,5946,6033,6263,6572,7037,7381,7683,7930,8007,8251,7829,7776,8665,9373,9927,10265,10233,10955,11137,11290,11613,12334,13127,13801,14197,15074
Ecuador,6878,7110,7193,7249,7420,7450,7395,7584,7641,6969,6897,7170,7372,7425,7873,8197,8447,8485,9013,8951,9168,9727,10136,10482,10702,10524,10208,10220,10141
"Egypt, Arab Rep.",5750,5874,5999,6045,6156,6322,6512,6733,6991,7238,7545,7676,7725,7809,7986,8119,8590,9076,9547,9734,9828,9727,9750,9712,9793,10069,10323,10473,10744
El Salvador,4385,4387,4674,4887,5076,5260,5235,5326,5424,5435,5480,5490,5520,5538,5553,5676,5937,6026,6168,5951,6096,6295,6373,6454,6534,6645,6745,6832,6973
